epoch,loss_d,loss_y,step,train_loss,val_acc,val_loss
15,3.1556336879730225,0.6931935548782349,77,3.848827362060547,,
15,3.1518893241882324,0.6934933066368103,78,3.8453826904296875,,
15,3.145467519760132,0.6931983828544617,79,3.8386659622192383,,
15,,,79,,0.5,0.7082018852233887
16,3.1394588947296143,0.6931401491165161,80,3.83259916305542,,
16,3.1443276405334473,0.693183183670044,81,3.837510824203491,,
16,3.1366047859191895,0.6931289434432983,82,3.8297338485717773,,
16,3.1239922046661377,0.6928991675376892,83,3.8168914318084717,,
16,3.111967086791992,0.6934453845024109,84,3.805412530899048,,
16,,,84,,0.5,0.6932236552238464
17,3.10671329498291,0.6929391026496887,85,3.799652338027954,,
17,3.107675790786743,0.6935399770736694,86,3.801215648651123,,
17,3.0929362773895264,0.6938740015029907,87,3.7868103981018066,,
